send_id,campaign_id,customer_id,email_sent_date,opened_flag,clicked_flag
S000064,CMP-2501,C00241,2025-10-01,1,0
S000065,CMP-2501,C00385,2025-10-01,0,0
S000066,CMP-2501,C00135,2025-10-01,0,0
S000067,CMP-2501,C00388,2025-10-01,1,0
S000068,CMP-2501,C00127,2025-10-01,0,0
S000069,CMP-2501,C00589,2025-10-01,0,0
S000070,CMP-2501,C00406,2025-10-01,1,0
S000071,CMP-2501,C00224,2025-10-01,1,0
S000072,CMP-2501,C00217,2025-10-01,0,0
S000073,CMP-2501,C00114,2025-10-01,1,0
S000074,CMP-2501,C00297,2025-10-01,0,0
S000075,CMP-2501,C00183,2025-10-01,0,0
S000076,CMP-2501,C00163,2025-10-01,0,0
S000077,CMP-2501,C00411,2025-10-01,1,0
S000078,CMP-2501,C00419,2025-10-01,0,0
S000079,CMP-2501,C00553,2025-10-01,1,1
S000080,CMP-2501,C00223,2025-10-01,0,1
S000081,CMP-2501,C00429,2025-10-01,1,0
S000082,CMP-2501,C00286,2025-10-01,0,0
S000083,CMP-2501,C00571,2025-10-01,0,0
S000084,CMP-2501,C00372,2025-10-01,0,0
S000085,CMP-2501,C00109,2025-10-01,1,0
S000086,CMP-2501,C00590,2025-10-01,0,0
S000087,CMP-2501,C00402,2025-10-01,1,0
S000088,CMP-2501,C00587,2025-10-01,1,0
S000089,CMP-2501,C00414,2025-10-01,1,0
S000090,CMP-2501,C00254,2025-10-01,0,0
S000091,CMP-2501,C00534,2025-10-01,0,0
S000092,CMP-2501,C00238,2025-10-01,1,1
S000093,CMP-2501,C00147,2025-10-01,0,0
S000094,CMP-2501,C00423,2025-10-01,0,0
S000095,CMP-2501,C00567,2025-10-01,0,0
S000096,CMP-2501,C00513,2025-10-01,0,0
S000097,CMP-2501,C00558,2025-10-01,1,0
S000098,CMP-2501,C00506,2025-10-01,0,0
S000099,CMP-2501,C00448,2025-10-01,0,0
S000100,CMP-2501,C00091,2025-10-01,0,0
S000101,CMP-2501,C00205,2025-10-01,0,0
S000102,CMP-2501,C00148,2025-10-01,1,0
S000103,CMP-2501,C00002,2025-10-01,0,0
S000104,CMP-2501,C00273,2025-10-01,0,0
S000105,CMP-2501,C00595,2025-10-01,1,1
S000106,CMP-2501,C00172,2025-10-01,1,0
S000107,CMP-2501,C00391,2025-10-01,0,0
S000108,CMP-2501,C00509,2025-10-01,0,0
S000109,CMP-2501,C00336,2025-10-01,0,0
S000110,CMP-2501,C00089,2025-10-01,0,0
S000111,CMP-2501,C00350,2025-10-01,0,0
S000112,CMP-2501,C00465,2025-10-01,0,0
S000113,CMP-2501,C00051,2025-10-01,0,0
S000114,CMP-2501,C00197,2025-10-01,0,0
S000115,CMP-2501,C00298,2025-10-01,1,0
S000116,CMP-2501,C00335,2025-10-01,0,0
S000117,CMP-2501,C00215,2025-10-01,0,1
S000118,CMP-2501,C00484,2025-10-01,1,0
S000119,CMP-2501,C00211,2025-10-01,1,0
S000120,CMP-2501,C00097,2025-10-01,1,0
S000121,CMP-2501,C00515,2025-10-01,1,0
S000122,CMP-2501,C00015,2025-10-01,1,0
S000123,CMP-2501,C00317,2025-10-01,1,1
S000124,CMP-2501,C00115,2025-10-01,0,0
S000125,CMP-2501,C00071,2025-10-01,0,0
S000126,CMP-2501,C00313,2025-10-01,1,0
S000127,CMP-2501,C00318,2025-10-01,1,0
S000128,CMP-2501,C00258,2025-10-01,0,0
S000129,CMP-2501,C00042,2025-10-01,0,0
S000130,CMP-2501,C00307,2025-10-01,0,0
S000131,CMP-2501,C00293,2025-10-01,1,0
S000132,CMP-2501,C00375,2025-10-01,0,0
S000133,CMP-2501,C00210,2025-10-01,0,0
S000134,CMP-2501,C00012,2025-10-01,0,0
S000135,CMP-2501,C00167,2025-10-01,1,0
S000136,CMP-2501,C00475,2025-10-01,1,1
S000137,CMP-2501,C00128,2025-10-01,0,0
S000138,CMP-2501,C00578,2025-10-01,1,0
S000139,CMP-2501,C00292,2025-10-01,0,0
S000140,CMP-2501,C00321,2025-10-01,1,1
S000141,CMP-2501,C00242,2025-10-01,0,0
S000142,CMP-2501,C00351,2025-10-01,1,0
S000143,CMP-2501,C00047,2025-10-01,0,0
S000144,CMP-2501,C00190,2025-10-01,1,1
S000145,CMP-2501,C00467,2025-10-01,1,1
S000146,CMP-2501,C00381,2025-10-01,1,0
S000147,CMP-2501,C00308,2025-10-01,0,0
S000148,CMP-2501,C00453,2025-10-01,0,0
S000149,CMP-2501,C00405,2025-10-01,1,0
S000150,CMP-2501,C00485,2025-10-01,1,1
S000151,CMP-2501,C00200,2025-10-01,0,0
S000152,CMP-2501,C00283,2025-10-01,1,0
S000153,CMP-2501,C00561,2025-10-01,0,0
S000154,CMP-2501,C00443,2025-10-01,1,0
S000155,CMP-2501,C00099,2025-10-01,0,0
S000156,CMP-2501,C00436,2025-10-01,0,0
S000157,CMP-2501,C00083,2025-10-01,0,0
S000158,CMP-2501,C00235,2025-10-01,1,0
S000159,CMP-2501,C00189,2025-10-01,0,0
S000160,CMP-2501,C00371,2025-10-01,1,0
S000161,CMP-2501,C00123,2025-10-01,0,0
S000162,CMP-2501,C00090,2025-10-01,1,0
S000163,CMP-2501,C00460,2025-10-01,1,1
S000164,CMP-2501,C00365,2025-10-01,0,0
S000165,CMP-2501,C00103,2025-10-01,0,0
S000166,CMP-2501,C00166,2025-10-01,0,0
S000167,CMP-2501,C00068,2025-10-01,1,0
S000168,CMP-2501,C00151,2025-10-01,0,0
S000169,CMP-2501,C00559,2025-10-01,0,0
S000170,CMP-2501,C00016,2025-10-01,1,0
S000171,CMP-2501,C00106,2025-10-01,1,0
S000172,CMP-2501,C00296,2025-10-01,0,0
S000173,CMP-2501,C00237,2025-10-01,0,0
S000174,CMP-2501,C00236,2025-10-01,0,0
S000175,CMP-2501,C00126,2025-10-01,0,0
S000176,CMP-2501,C00459,2025-10-01,0,0
S000177,CMP-2501,C00309,2025-10-01,0,0
S000178,CMP-2501,C00228,2025-10-01,0,0
S000179,CMP-2501,C00124,2025-10-01,0,0
S000180,CMP-2501,C00408,2025-10-01,0,0
S000181,CMP-2501,C00501,2025-10-01,0,0
S000182,CMP-2501,C00428,2025-10-01,0,0
S000183,CMP-2501,C00257,2025-10-01,0,0
S000184,CMP-2501,C00329,2025-10-01,1,0
S000185,CMP-2501,C00057,2025-10-01,0,0
S000186,CMP-2501,C00412,2025-10-01,0,0
S000187,CMP-2501,C00310,2025-10-01,0,0
S000188,CMP-2501,C00170,2025-10-01,0,0
S000189,CMP-2501,C00082,2025-10-01,0,0
S000190,CMP-2501,C00541,2025-10-01,1,0
S000191,CMP-2501,C00523,2025-10-01,0,0
S000192,CMP-2501,C00370,2025-10-01,0,0
S000193,CMP-2501,C00036,2025-10-01,0,0
S000194,CMP-2501,C00004,2025-10-01,1,0
S000195,CMP-2501,C00384,2025-10-01,1,0
S000196,CMP-2501,C00017,2025-10-01,0,0
S000197,CMP-2501,C00490,2025-10-01,0,0
S000198,CMP-2501,C00347,2025-10-01,0,0
S000199,CMP-2501,C00209,2025-10-01,1,0
S000200,CMP-2501,C00267,2025-10-01,1,0
S000201,CMP-2501,C00537,2025-10-01,1,0
S000202,CMP-2501,C00198,2025-10-01,0,0
S000203,CMP-2501,C00037,2025-10-01,1,0
S000204,CMP-2501,C00214,2025-10-01,0,0
S000205,CMP-2501,C00134,2025-10-01,1,0
S000206,CMP-2501,C00367,2025-10-01,0,0
S000207,CMP-2501,C00276,2025-10-01,0,0
S000208,CMP-2501,C00062,2025-10-01,0,0
S000209,CMP-2501,C00395,2025-10-01,1,0
S000210,CMP-2501,C00311,2025-10-01,0,0
S000211,CMP-2501,C00332,2025-10-01,1,0
S000212,CMP-2501,C00592,2025-10-01,1,1
S000213,CMP-2501,C00366,2025-10-01,1,0
S000214,CMP-2501,C00574,2025-10-01,0,0
S000215,CMP-2501,C00225,2025-10-01,0,0
S000216,CMP-2501,C00247,2025-10-01,0,0
S000217,CMP-2501,C00517,2025-10-01,0,0
S000218,CMP-2501,C00564,2025-10-01,1,0
S000219,CMP-2501,C00150,2025-10-01,1,1
S000220,CMP-2501,C00204,2025-10-01,1,0
S000221,CMP-2501,C00531,2025-10-01,1,0
S000222,CMP-2501,C00021,2025-10-01,1,0
S000223,CMP-2501,C00187,2025-10-01,1,0
S000224,CMP-2501,C00500,2025-10-01,0,0
S000225,CMP-2501,C00392,2025-10-01,0,0
S000226,CMP-2501,C00502,2025-10-01,1,0
S000227,CMP-2501,C00549,2025-10-01,0,0
S000228,CMP-2501,C00585,2025-10-01,0,0
S000229,CMP-2501,C00226,2025-10-01,0,0
S000230,CMP-2501,C00220,2025-10-01,0,0
S000231,CMP-2501,C00064,2025-10-01,0,0
S000232,CMP-2501,C00054,2025-10-01,1,0
S000233,CMP-2501,C00075,2025-10-01,0,0
S000234,CMP-2501,C00535,2025-10-01,1,1
S000235,CMP-2501,C00527,2025-10-01,0,0
S000236,CMP-2501,C00058,2025-10-01,0,0
S000237,CMP-2501,C00087,2025-10-01,1,0
S000238,CMP-2501,C00188,2025-10-01,1,0
S000239,CMP-2501,C00212,2025-10-01,0,0
S000240,CMP-2501,C00579,2025-10-01,0,0
S000241,CMP-2501,C00174,2025-10-01,1,1
S000242,CMP-2501,C00073,2025-10-01,0,0
S000243,CMP-2501,C00125,2025-10-01,0,0
S000244,CMP-2501,C00248,2025-10-01,1,0
S000245,CMP-2501,C00108,2025-10-01,1,0
S000246,CMP-2501,C00136,2025-10-01,1,0
S000247,CMP-2501,C00050,2025-10-01,0,0
S000248,CMP-2501,C00169,2025-10-01,0,0
S000249,CMP-2501,C00598,2025-10-01,1,0
S000250,CMP-2501,C00038,2025-10-01,0,0
S000251,CMP-2501,C00447,2025-10-01,0,0
S000252,CMP-2501,C00252,2025-10-01,0,0
S000253,CMP-2501,C00524,2025-10-01,1,0
S000254,CMP-2501,C00396,2025-10-01,1,0
S000255,CMP-2501,C00176,2025-10-01,0,0
S000256,CMP-2501,C00152,2025-10-01,0,0
S000257,CMP-2501,C00507,2025-10-01,0,0
S000258,CMP-2501,C00560,2025-10-01,1,0
S000259,CMP-2501,C00505,2025-10-01,1,1
S000260,CMP-2501,C00594,2025-10-01,1,0
S000261,CMP-2501,C00539,2025-10-01,1,1
S000262,CMP-2501,C00141,2025-10-01,0,0
S000263,CMP-2501,C00305,2025-10-01,0,0
S000264,CMP-2501,C00586,2025-10-01,1,0
S000265,CMP-2501,C00072,2025-10-01,0,0
S000266,CMP-2501,C00076,2025-10-01,0,0
S000267,CMP-2501,C00268,2025-10-01,1,0
S000268,CMP-2501,C00557,2025-10-01,1,1
S000269,CMP-2501,C00014,2025-10-01,0,0
S000270,CMP-2501,C00528,2025-10-01,0,0
S000271,CMP-2501,C00457,2025-10-01,0,0
S000272,CMP-2501,C00289,2025-10-01,0,0
S000273,CMP-2501,C00186,2025-10-01,1,0
S000274,CMP-2501,C00382,2025-10-01,1,1
S000275,CMP-2501,C00158,2025-10-01,0,0
S000276,CMP-2501,C00415,2025-10-01,1,0
S000277,CMP-2501,C00340,2025-10-01,0,0
S000278,CMP-2501,C00157,2025-10-01,1,0
S000279,CMP-2501,C00244,2025-10-01,0,0
S000280,CMP-2501,C00380,2025-10-01,1,0
S000281,CMP-2501,C00433,2025-10-01,1,0
S000282,CMP-2501,C00080,2025-10-01,0,0
S000283,CMP-2501,C00583,2025-10-01,1,0
S000284,CMP-2501,C00451,2025-10-01,0,0
S000285,CMP-2501,C00551,2025-10-01,0,0
S000286,CMP-2501,C00327,2025-10-01,1,1
S000287,CMP-2501,C00487,2025-10-01,0,0
S000288,CMP-2501,C00132,2025-10-01,1,0
S000289,CMP-2501,C00117,2025-10-01,1,0
S000290,CMP-2501,C00547,2025-10-01,0,0
S000291,CMP-2501,C00516,2025-10-01,0,0
S000292,CMP-2501,C00550,2025-10-01,0,0
S000293,CMP-2501,C00568,2025-10-01,1,0
S000294,CMP-2501,C00478,2025-10-01,0,0
S000295,CMP-2501,C00300,2025-10-01,1,0
S000296,CMP-2501,C00007,2025-10-01,0,0
S000297,CMP-2501,C00341,2025-10-01,1,0
S000298,CMP-2501,C00378,2025-10-01,1,0
S000299,CMP-2501,C00261,2025-10-01,0,0
S000300,CMP-2501,C00265,2025-10-01,0,0
S000301,CMP-2502,C00585,2025-11-15,0,0
S000302,CMP-2502,C00201,2025-11-15,0,0
S000303,CMP-2502,C00129,2025-11-15,0,0
S000304,CMP-2502,C00225,2025-11-15,0,0
S000305,CMP-2502,C00528,2025-11-15,0,0
S000306,CMP-2502,C00133,2025-11-15,1,0
S000307,CMP-2502,C00147,2025-11-15,1,0
S000308,CMP-2502,C00231,2025-11-15,1,0
S000309,CMP-2502,C00085,2025-11-15,0,0
S000310,CMP-2502,C00098,2025-11-15,0,0
S000311,CMP-2502,C00414,2025-11-15,0,0
S000312,CMP-2502,C00290,2025-11-15,1,0
S000313,CMP-2502,C00108,2025-11-15,1,0
S000314,CMP-2502,C00256,2025-11-15,1,0
S000315,CMP-2502,C00232,2025-11-15,1,0
S000316,CMP-2502,C00257,2025-11-15,0,0
S000317,CMP-2502,C00190,2025-11-15,1,0
S000318,CMP-2502,C00309,2025-11-15,1,0
S000319,CMP-2502,C00337,2025-11-15,0,0
S000320,CMP-2502,C00474,2025-11-15,1,0
S000321,CMP-2502,C00533,2025-11-15,1,0
S000322,CMP-2502,C00530,2025-11-15,0,0
S000323,CMP-2502,C00274,2025-11-15,0,0
S000324,CMP-2502,C00135,2025-11-15,1,0
S000325,CMP-2502,C00336,2025-11-15,0,0
S000326,CMP-2502,C00433,2025-11-15,0,0
S000327,CMP-2502,C00384,2025-11-15,1,0
S000328,CMP-2502,C00149,2025-11-15,1,0
S000329,CMP-2502,C00036,2025-11-15,0,0
S000330,CMP-2502,C00395,2025-11-15,1,0
S000331,CMP-2502,C00050,2025-11-15,1,0
S000332,CMP-2502,C00203,2025-11-15,1,0
S000333,CMP-2502,C00187,2025-11-15,1,0
S000334,CMP-2502,C00015,2025-11-15,0,0
S000335,CMP-2502,C00594,2025-11-15,0,0
S000336,CMP-2502,C00035,2025-11-15,0,0
S000337,CMP-2502,C00244,2025-11-15,1,1
S000338,CMP-2502,C00166,2025-11-15,0,0
S000339,CMP-2502,C00407,2025-11-15,0,0
S000340,CMP-2502,C00331,2025-11-15,0,0
S000341,CMP-2502,C00012,2025-11-15,0,0
S000342,CMP-2502,C00493,2025-11-15,0,0
S000343,CMP-2502,C00496,2025-11-15,0,0
S000344,CMP-2502,C00353,2025-11-15,0,0
S000345,CMP-2502,C00193,2025-11-15,0,0
S000346,CMP-2502,C00416,2025-11-15,1,1
S000347,CMP-2502,C00463,2025-11-15,0,0
S000348,CMP-2502,C00220,2025-11-15,0,0
S000349,CMP-2502,C00465,2025-11-15,0,0
S000350,CMP-2502,C00270,2025-11-15,1,0
S000351,CMP-2502,C00451,2025-11-15,0,0
S000352,CMP-2502,C00121,2025-11-15,0,0
S000353,CMP-2502,C00287,2025-11-15,0,0
S000354,CMP-2502,C00527,2025-11-15,1,0
S000355,CMP-2502,C00346,2025-11-15,0,0
S000356,CMP-2502,C00546,2025-11-15,0,0
S000357,CMP-2502,C00191,2025-11-15,1,0
S000358,CMP-2502,C00262,2025-11-15,1,0
S000359,CMP-2502,C00350,2025-11-15,0,0
S000360,CMP-2502,C00500,2025-11-15,1,0
S000361,CMP-2502,C00468,2025-11-15,0,0
S000362,CMP-2502,C00099,2025-11-15,1,0
S000363,CMP-2502,C00351,2025-11-15,0,0
S000364,CMP-2502,C00532,2025-11-15,0,0
S000365,CMP-2502,C00551,2025-11-15,1,0
S000366,CMP-2502,C00065,2025-11-15,0,0
S000367,CMP-2502,C00375,2025-11-15,1,1
S000368,CMP-2502,C00437,2025-11-15,1,1
S000369,CMP-2502,C00027,2025-11-15,0,0
S000370,CMP-2502,C00130,2025-11-15,0,0
S000371,CMP-2502,C00097,2025-11-15,0,0
S000372,CMP-2502,C00233,2025-11-15,0,0
S000373,CMP-2502,C00469,2025-11-15,0,0
S000374,CMP-2502,C00114,2025-11-15,0,0
S000375,CMP-2502,C00124,2025-11-15,0,0
S000376,CMP-2502,C00303,2025-11-15,0,0
S000377,CMP-2502,C00531,2025-11-15,0,0
S000378,CMP-2502,C00356,2025-11-15,0,0
S000379,CMP-2502,C00315,2025-11-15,0,0
S000380,CMP-2502,C00464,2025-11-15,0,0
S000381,CMP-2502,C00447,2025-11-15,0,0
S000382,CMP-2502,C00592,2025-11-15,0,0
S000383,CMP-2502,C00517,2025-11-15,0,0
S000384,CMP-2502,C00568,2025-11-15,1,0
S000385,CMP-2502,C00408,2025-11-15,0,0
S000386,CMP-2502,C00200,2025-11-15,0,0
S000387,CMP-2502,C00146,2025-11-15,1,0
S000388,CMP-2502,C00228,2025-11-15,0,0
S000389,CMP-2502,C00018,2025-11-15,1,0
S000390,CMP-2502,C00102,2025-11-15,0,0
S000391,CMP-2502,C00376,2025-11-15,1,0
S000392,CMP-2502,C00382,2025-11-15,1,0
S000393,CMP-2502,C00182,2025-11-15,0,0
S000394,CMP-2502,C00536,2025-11-15,0,0
S000395,CMP-2502,C00308,2025-11-15,0,0
S000396,CMP-2502,C00400,2025-11-15,1,0
S000397,CMP-2502,C00078,2025-11-15,0,0
S000398,CMP-2502,C00289,2025-11-15,0,0
S000399,CMP-2502,C00441,2025-11-15,0,0
S000400,CMP-2502,C00272,2025-11-15,0,0
S000401,CMP-2502,C00269,2025-11-15,0,0
S000402,CMP-2502,C00025,2025-11-15,0,0
S000403,CMP-2502,C00410,2025-11-15,0,0
S000404,CMP-2502,C00273,2025-11-15,0,0
S000405,CMP-2502,C00186,2025-11-15,1,0
S000406,CMP-2502,C00277,2025-11-15,0,0
S000407,CMP-2502,C00118,2025-11-15,0,0
S000408,CMP-2502,C00523,2025-11-15,0,0
S000409,CMP-2502,C00485,2025-11-15,1,0
S000410,CMP-2502,C00501,2025-11-15,0,0
S000411,CMP-2502,C00086,2025-11-15,1,0
S000412,CMP-2502,C00192,2025-11-15,0,0
S000413,CMP-2502,C00082,2025-11-15,1,0
S000414,CMP-2502,C00052,2025-11-15,1,0
S000415,CMP-2502,C00349,2025-11-15,0,0
S000416,CMP-2502,C00519,2025-11-15,0,0
S000417,CMP-2502,C00326,2025-11-15,0,0
S000418,CMP-2502,C00325,2025-11-15,0,0
S000419,CMP-2502,C00440,2025-11-15,0,1
S000420,CMP-2502,C00317,2025-11-15,0,0
S000421,CMP-2502,C00116,2025-11-15,0,0
S000422,CMP-2502,C00432,2025-11-15,0,0
S000423,CMP-2502,C00477,2025-11-15,1,0
S000424,CMP-2502,C00385,2025-11-15,0,0
S000425,CMP-2502,C00367,2025-11-15,0,0
S000426,CMP-2502,C00504,2025-11-15,1,0
S000427,CMP-2502,C00495,2025-11-15,0,0
S000428,CMP-2502,C00313,2025-11-15,0,0
S000429,CMP-2502,C00218,2025-11-15,1,0
S000430,CMP-2502,C00482,2025-11-15,0,0
S000431,CMP-2502,C00104,2025-11-15,1,1
S000432,CMP-2502,C00143,2025-11-15,0,0
S000433,CMP-2502,C00026,2025-11-15,0,0
S000434,CMP-2502,C00206,2025-11-15,1,1
S000435,CMP-2502,C00152,2025-11-15,0,0
S000436,CMP-2502,C00515,2025-11-15,0,0
S000437,CMP-2502,C00462,2025-11-15,0,0
S000438,CMP-2502,C00268,2025-11-15,0,0
S000439,CMP-2502,C00216,2025-11-15,0,0
S000440,CMP-2502,C00458,2025-11-15,1,0
S000441,CMP-2502,C00564,2025-11-15,0,0
S000442,CMP-2502,C00240,2025-11-15,1,1
S000443,CMP-2502,C00165,2025-11-15,0,0
S000444,CMP-2502,C00070,2025-11-15,0,0
S000445,CMP-2502,C00370,2025-11-15,1,1
S000446,CMP-2502,C00154,2025-11-15,0,0
S000447,CMP-2502,C00001,2025-11-15,0,0
S000448,CMP-2502,C00039,2025-11-15,0,0
S000449,CMP-2502,C00598,2025-11-15,0,0
S000450,CMP-2502,C00363,2025-11-15,0,0
S000451,CMP-2502,C00285,2025-11-15,0,0
S000452,CMP-2502,C00343,2025-11-15,1,0
S000453,CMP-2502,C00160,2025-11-15,1,0
S000454,CMP-2502,C00107,2025-11-15,0,0
S000455,CMP-2502,C00510,2025-11-15,0,0
S000456,CMP-2502,C00314,2025-11-15,0,0
S000457,CMP-2502,C00305,2025-11-15,1,0
S000458,CMP-2502,C00565,2025-11-15,1,0
S000459,CMP-2502,C00031,2025-11-15,0,0
S000460,CMP-2502,C00387,2025-11-15,1,0
S000461,CMP-2502,C00211,2025-11-15,0,0
S000462,CMP-2502,C00072,2025-11-15,1,0
S000463,CMP-2502,C00074,2025-11-15,0,0
S000464,CMP-2502,C00247,2025-11-15,1,0
S000465,CMP-2502,C00422,2025-11-15,1,0
S000466,CMP-2502,C00083,2025-11-15,0,0
S000467,CMP-2502,C00392,2025-11-15,1,0
S000468,CMP-2502,C00590,2025-11-15,1,0
S000469,CMP-2502,C00125,2025-11-15,0,0
S000470,CMP-2502,C00599,2025-11-15,0,0
S000471,CMP-2502,C00403,2025-11-15,0,0
S000472,CMP-2502,C00488,2025-11-15,1,0
S000473,CMP-2502,C00561,2025-11-15,1,1
S000474,CMP-2502,C00215,2025-11-15,1,0
S000475,CMP-2502,C00431,2025-11-15,0,0
S000476,CMP-2502,C00525,2025-11-15,0,0
S000477,CMP-2502,C00100,2025-11-15,0,0
S000478,CMP-2502,C00128,2025-11-15,0,0
S000479,CMP-2502,C00180,2025-11-15,0,0
S000480,CMP-2502,C00037,2025-11-15,0,0
S000481,CMP-2502,C00480,2025-11-15,1,1
S000482,CMP-2502,C00142,2025-11-15,0,0
S000483,CMP-2502,C00439,2025-11-15,1,1
S000484,CMP-2502,C00467,2025-11-15,0,0
S000485,CMP-2502,C00064,2025-11-15,0,0
S000486,CMP-2502,C00372,2025-11-15,0,0
S000487,CMP-2502,C00379,2025-11-15,0,0
S000488,CMP-2502,C00300,2025-11-15,1,0
S000489,CMP-2502,C00345,2025-11-15,1,1
S000490,CMP-2502,C00475,2025-11-15,0,0
S000491,CMP-2502,C00106,2025-11-15,0,0
S000492,CMP-2502,C00513,2025-11-15,0,0
S000493,CMP-2502,C00073,2025-11-15,0,0
S000494,CMP-2502,C00412,2025-11-15,0,0
S000495,CMP-2502,C00419,2025-11-15,0,0
S000496,CMP-2502,C00390,2025-11-15,0,0
S000497,CMP-2502,C00168,2025-11-15,0,0
S000498,CMP-2502,C00006,2025-11-15,0,0
S000499,CMP-2502,C00327,2025-11-15,0,0
S000500,CMP-2502,C00061,2025-11-15,0,0
S000501,CMP-2502,C00267,2025-11-15,1,0
S000502,CMP-2502,C00448,2025-11-15,1,0
S000503,CMP-2502,C00541,2025-11-15,1,0
S000504,CMP-2502,C00053,2025-11-15,1,0
S000505,CMP-2502,C00396,2025-11-15,1,0
S000506,CMP-2502,C00322,2025-11-15,0,0
S000507,CMP-2502,C00307,2025-11-15,0,0
S000508,CMP-2502,C00242,2025-11-15,0,0
S000509,CMP-2502,C00119,2025-11-15,0,0
S000510,CMP-2502,C00339,2025-11-15,0,0
S000511,CMP-2502,C00597,2025-11-15,1,0
S000512,CMP-2502,C00153,2025-11-15,0,0
S000513,CMP-2502,C00555,2025-11-15,1,0
S000514,CMP-2502,C00278,2025-11-15,0,0
S000515,CMP-2502,C00381,2025-11-15,0,0
S000516,CMP-2502,C00473,2025-11-15,0,0
S000517,CMP-2502,C00529,2025-11-15,0,0
S000518,CMP-2502,C00079,2025-11-15,1,0
S000519,CMP-2502,C00421,2025-11-15,0,0
S000520,CMP-2502,C00369,2025-11-15,1,0
S000521,CMP-2502,C00175,2025-11-15,0,0
S000522,CMP-2502,C00140,2025-11-15,0,0
S000523,CMP-2502,C00021,2025-11-15,1,1
S000524,CMP-2502,C00196,2025-11-15,1,0
S000525,CMP-2502,C00131,2025-11-15,0,0
S000526,CMP-2502,C00058,2025-11-15,1,0
S000527,CMP-2502,C00321,2025-11-15,0,0
S000528,CMP-2502,C00239,2025-11-15,0,0
S000529,CMP-2502,C00219,2025-11-15,0,0
S000530,CMP-2502,C00413,2025-11-15,0,0
S000531,CMP-2502,C00087,2025-11-15,1,0
S000532,CMP-2502,C00364,2025-11-15,1,0
S000533,CMP-2502,C00355,2025-11-15,0,0
S000534,CMP-2502,C00250,2025-11-15,0,0
S000535,CMP-2502,C00150,2025-11-15,0,0
